step,dense_attention,b7a1_native_sdm,b7a1_residualized_sdm,b8_native_sdm,b8_residualized_sdm
108,9.8438138961792,9.812335968017578,9.488924026489258,9.82521915435791,9.498619079589844
109,9.853904724121094,9.798270225524902,9.511107444763184,9.807648658752441,9.52007007598877
110,9.814720153808594,9.784725189208984,9.495084762573242,9.793909072875977,9.503145217895508
111,9.830511093139648,9.769371032714844,9.434157371520996,9.77868366241455,9.44906234741211
112,9.803213119506836,9.731756210327148,9.450727462768555,9.740670204162598,9.457324028015137
113,9.796792984008789,9.74612045288086,9.471752166748047,9.747929573059082,9.477684020996094
114,9.772989273071289,9.700571060180664,9.399982452392578,9.713338851928711,9.413050651550293
115,9.824918746948242,9.76878547668457,9.48269271850586,9.778240203857422,9.492700576782227
116,9.768579483032227,9.693168640136719,9.401020050048828,9.695234298706055,9.4104585647583
117,9.774555206298828,9.689396858215332,9.383914947509766,9.70113468170166,9.398334503173828
118,9.724520683288574,9.652005195617676,9.356417655944824,9.662988662719727,9.371413230895996
119,9.698898315429688,9.591201782226562,9.296541213989258,9.601617813110352,9.3135986328125
120,9.703182220458984,9.600410461425781,9.261441230773926,9.604812622070312,9.270708084106445
121,9.732255935668945,9.628776550292969,9.293987274169922,9.632987022399902,9.311074256896973
122,9.777725219726562,9.689702033996582,9.422109603881836,9.695932388305664,9.431021690368652
123,9.690240859985352,9.599453926086426,9.324402809143066,9.602638244628906,9.33232593536377
124,9.708459854125977,9.594266891479492,9.295251846313477,9.602446556091309,9.30514144897461
125,9.668621063232422,9.56169605255127,9.288421630859375,9.56403636932373,9.299108505249023
126,9.666074752807617,9.573920249938965,9.290440559387207,9.578185081481934,9.302814483642578
127,9.618618965148926,9.509963035583496,9.211495399475098,9.516057014465332,9.23177719116211
128,9.592672348022461,9.475619316101074,9.244370460510254,9.48228645324707,9.258148193359375
129,9.614174842834473,9.525419235229492,9.254575729370117,9.537487983703613,9.269134521484375
130,9.6220064163208,9.48098087310791,9.193746566772461,9.484505653381348,9.204353332519531
131,9.511333465576172,9.373113632202148,9.06014633178711,9.378915786743164,9.073781967163086
132,9.598965644836426,9.483016967773438,9.230313301086426,9.486409187316895,9.234856605529785
133,9.552229881286621,9.39532470703125,9.098140716552734,9.394673347473145,9.105910301208496
134,9.594823837280273,9.448205947875977,9.190282821655273,9.451274871826172,9.198707580566406
135,9.534512519836426,9.410568237304688,9.139505386352539,9.417169570922852,9.157845497131348
136,9.509622573852539,9.396638870239258,9.134147644042969,9.401219367980957,9.146255493164062
137,9.479057312011719,9.331689834594727,9.084413528442383,9.332571983337402,9.09359359741211
138,9.517263412475586,9.40182876586914,9.176786422729492,9.402353286743164,9.181131362915039
139,9.395039558410645,9.272622108459473,9.039139747619629,9.276639938354492,9.051226615905762
140,9.469900131225586,9.35257339477539,9.115143775939941,9.359344482421875,9.123764991760254
141,9.441265106201172,9.301129341125488,9.067768096923828,9.308599472045898,9.079873085021973
142,9.431269645690918,9.289306640625,9.031761169433594,9.29378890991211,9.040749549865723
143,9.372987747192383,9.245729446411133,9.014164924621582,9.250551223754883,9.024383544921875
144,9.463595390319824,9.368634223937988,9.15395736694336,9.378999710083008,9.168192863464355
145,9.394220352172852,9.290569305419922,9.022336959838867,9.2926025390625,9.026968002319336
146,9.411163330078125,9.290388107299805,9.082696914672852,9.297863006591797,9.096137046813965
147,9.45689582824707,9.352005004882812,9.104001998901367,9.351447105407715,9.112089157104492
148,9.377789497375488,9.262985229492188,9.041025161743164,9.260486602783203,9.045998573303223
149,9.320730209350586,9.210594177246094,8.96233081817627,9.208566665649414,8.969504356384277
150,9.329379081726074,9.197639465332031,8.974808692932129,9.200864791870117,8.981695175170898
151,9.297056198120117,9.205053329467773,9.001813888549805,9.20732307434082,9.013829231262207
